id,product_id,retailer_id,observed_at,full_price,current_price,discount_pct,currency
1,1,1,2026-06-15,265000,265000,0.0,ARS
2,1,1,2026-07-15,275000,263800,4.07,ARS
3,1,1,2026-08-15,285000,278200,2.39,ARS
4,2,1,2026-06-15,306900,245500,20.01,ARS
5,2,1,2026-07-15,318400,260500,18.18,ARS
6,2,1,2026-08-15,330000,232200,29.64,ARS
7,3,1,2026-06-15,269700,248100,8.01,ARS
8,3,1,2026-07-15,279800,247400,11.58,ARS
9,3,1,2026-08-15,290000,261700,9.76,ARS
10,4,1,2026-06-15,334800,294600,12.01,ARS
11,4,1,2026-07-15,347400,294200,15.31,ARS
12,4,1,2026-08-15,360000,298400,17.11,ARS
13,5,1,2026-06-15,390600,312500,19.99,ARS
14,5,1,2026-07-15,405300,322800,20.36,ARS
15,5,1,2026-08-15,420000,314700,25.07,ARS
16,6,1,2026-06-15,297600,267800,10.01,ARS
17,6,1,2026-07-15,308800,265800,13.92,ARS
18,6,1,2026-08-15,320000,253300,20.84,ARS
19,7,1,2026-06-15,195300,195300,0.0,ARS
20,7,1,2026-07-15,202600,195200,3.65,ARS
21,7,1,2026-08-15,210000,186400,11.24,ARS
22,8,1,2026-06-15,269700,215800,19.99,ARS
23,8,1,2026-07-15,279800,211400,24.45,ARS
24,8,1,2026-08-15,290000,211000,27.24,ARS
25,9,1,2026-06-15,223200,223200,0.0,ARS
26,9,1,2026-07-15,231600,230600,0.43,ARS
27,9,1,2026-08-15,240000,238000,0.83,ARS
28,10,1,2026-06-15,241800,217600,10.01,ARS
29,10,1,2026-07-15,250900,229600,8.49,ARS
30,10,1,2026-08-15,260000,206900,20.42,ARS
31,11,1,2026-06-15,353400,335700,5.01,ARS
32,11,1,2026-07-15,366700,336600,8.21,ARS
33,11,1,2026-08-15,380000,339100,10.76,ARS
34,12,1,2026-06-15,316200,237200,24.98,ARS
35,12,1,2026-07-15,328100,249000,24.11,ARS
36,12,1,2026-08-15,340000,238000,30.0,ARS
37,13,1,2026-06-15,251100,205900,18.0,ARS
38,13,1,2026-07-15,260600,200000,23.25,ARS
39,13,1,2026-08-15,270000,215700,20.11,ARS
40,14,1,2026-06-15,195300,136700,30.01,ARS
41,14,1,2026-07-15,202600,139500,31.15,ARS
42,14,1,2026-08-15,210000,140200,33.24,ARS
43,15,1,2026-06-15,232500,162800,29.98,ARS
44,15,1,2026-07-15,241200,163800,32.09,ARS
45,15,1,2026-08-15,250000,157500,37.0,ARS
46,1,2,2026-06-15,270400,221700,18.01,ARS
47,1,2,2026-07-15,280500,222300,20.75,ARS
48,1,2,2026-08-15,290700,276200,4.99,ARS
49,2,2,2026-06-15,313000,219100,30.0,ARS
50,2,2,2026-07-15,324800,233800,28.02,ARS
51,2,2,2026-08-15,336600,222500,33.9,ARS
52,3,2,2026-06-15,275100,261300,5.02,ARS
53,3,2,2026-07-15,285400,259900,8.93,ARS
54,3,2,2026-08-15,295800,251100,15.11,ARS
55,4,2,2026-06-15,341500,256100,25.01,ARS
56,4,2,2026-07-15,354300,253200,28.54,ARS
57,4,2,2026-08-15,367200,236600,35.57,ARS
58,5,2,2026-06-15,398400,298800,25.0,ARS
59,5,2,2026-07-15,413400,285600,30.91,ARS
60,7,2,2026-06-15,199200,163300,18.02,ARS
61,7,2,2026-07-15,206700,159300,22.93,ARS
62,7,2,2026-08-15,214200,175000,18.3,ARS
63,8,2,2026-06-15,275100,225600,17.99,ARS
64,8,2,2026-07-15,285400,234700,17.76,ARS
65,8,2,2026-08-15,295800,221800,25.02,ARS
66,9,2,2026-06-15,227700,209500,7.99,ARS
67,9,2,2026-07-15,236200,209800,11.18,ARS
68,9,2,2026-08-15,244800,206700,15.56,ARS
69,10,2,2026-06-15,246600,217000,12.0,ARS
70,10,2,2026-07-15,255900,225700,11.8,ARS
71,10,2,2026-08-15,265200,214400,19.16,ARS
72,11,2,2026-06-15,360500,324400,10.01,ARS
73,11,2,2026-07-15,374000,324300,13.29,ARS
74,11,2,2026-08-15,387600,327200,15.58,ARS
75,12,2,2026-06-15,322500,296700,8.0,ARS
76,12,2,2026-07-15,334700,293300,12.37,ARS
77,12,2,2026-08-15,346800,295200,14.88,ARS
78,13,2,2026-06-15,256100,217700,14.99,ARS
79,13,2,2026-07-15,265800,228200,14.15,ARS
80,13,2,2026-08-15,275400,218500,20.66,ARS
81,16,2,2026-06-15,284600,256100,10.01,ARS
82,16,2,2026-07-15,295300,258100,12.6,ARS
83,16,2,2026-08-15,306000,229500,25.0,ARS
84,17,2,2026-06-15,360500,306400,15.01,ARS
85,17,2,2026-07-15,374000,316100,15.48,ARS
86,17,2,2026-08-15,387600,318000,17.96,ARS
87,18,2,2026-06-15,379400,379400,0.0,ARS
88,18,2,2026-07-15,393700,380700,3.3,ARS
89,18,2,2026-08-15,408000,379500,6.99,ARS
90,19,2,2026-06-15,256100,256100,0.0,ARS
91,19,2,2026-07-15,265800,251000,5.57,ARS
92,19,2,2026-08-15,275400,254400,7.63,ARS
93,20,2,2026-06-15,313000,288000,7.99,ARS
94,20,2,2026-07-15,324800,290200,10.65,ARS
95,20,2,2026-08-15,336600,272200,19.13,ARS
