id,source_name,url,title,published_at,mention_type,product_a_id,product_b_id,list_key,excerpt,country_code
1,Believe in the Run,https://believeintherun.com/nike-pegasus-41-vs-asics-novablast-5/,Nike Pegasus 41 vs ASICS Novablast 5: cuál es el mejor daily trainer,2026-05-12,versus,1,16,daily-trainer-showdown-2026,La Pegasus 41 gana en durabilidad y previsibilidad; la Novablast 5 devuelve mucha más energía por 15 dólares menos.,US
2,Doble Ritmo,https://dobleritmo.com/pegasus-41-vs-supernova-rise-2/,Pegasus 41 vs Supernova Rise 2: el duelo del entrenamiento diario en Argentina,2026-06-08,versus,1,22,daily-trainer-showdown-2026,"A precio argentino la Supernova Rise 2 aparece entre 20% y 25% por debajo de la Pegasus, con una amortiguación muy parecida.",AR
3,Runner's World,https://runnersworld.com/nike-vomero-18-vs-gel-nimbus-26/,Vomero 18 vs Gel-Nimbus 26: la pelea por el máximo confort,2026-04-22,versus,2,17,max-cushion-2026,La Vomero 18 se siente más dinámica gracias al ZoomX; la Nimbus 26 sigue siendo la más blanda para el que sólo busca kilómetros cómodos.,US
4,Road Trail Run,https://roadtrailrun.com/vomero-18-alternatives/,Cinco alternativas a la Nike Vomero 18 en máxima amortiguación,2026-05-30,alternative,2,31,max-cushion-2026,"Si buscás algo más estable que la Vomero, el New Balance 1080v13 ofrece un rocker más suave.",US
5,Believe in the Run,https://believeintherun.com/invincible-3-vs-ultraboost-5/,Nike Invincible 3 vs Adidas Ultraboost 5: espuma contra espuma,2026-03-18,versus,4,23,max-cushion-2026,El ZoomX de la Invincible 3 es más blando y rebotón; el Boost del Ultraboost 5 dura más pero pesa bastante más.,US
6,Runner's World,https://runnersworld.com/structure-25-vs-kayano-31/,Structure 25 vs Gel-Kayano 31: estabilidad moderna cara a cara,2026-02-14,versus,3,18,stability-2026,Ambas abandonaron la barra rígida. La Structure 25 es más económica; la Kayano 31 es más amortiguada.,US
7,Sneaker News,https://sneakernews.com/air-force-1-vs-samba-og/,Air Force 1 vs Samba OG: quién domina la calle en 2026,2026-06-02,versus,7,26,lifestyle-icons-2026,"La Samba OG se llevó el ciclo de moda de los últimos dos años, pero la Air Force 1 sigue siendo el modelo más vendido del mundo.",US
8,Sneaker News,https://sneakernews.com/af1-alternatives-campus-00s/,"Si te cansaste de la Air Force 1, probá con la Campus 00s",2026-05-05,alternative,7,28,lifestyle-icons-2026,La Campus 00s ofrece el mismo volumen chunky con una vuelta retro más actual.,US
9,Infobae Deportes,https://infobae.com/deportes/dunk-low-samba-og-argentina/,Dunk Low o Samba OG: qué zapatilla domina las calles porteñas,2026-07-04,versus,9,26,lifestyle-icons-2026,"En Buenos Aires la Samba desplazó a la Dunk como la zapatilla de moda, en parte por disponibilidad y precio.",AR
10,Sneaker News,https://sneakernews.com/jordan-1-low-vs-nb-550/,Jordan 1 Low vs New Balance 550: el corte bajo de básquet,2026-04-09,alternative,10,33,lifestyle-icons-2026,El 550 es la alternativa más limpia y barata al Jordan 1 Low.,US
11,Infobae Deportes,https://infobae.com/deportes/mercurial-vapor-16-vs-predator-24/,Mercurial Vapor 16 vs Predator 24: velocidad contra control,2026-05-18,versus,11,29,football-boots-2026,El Vapor 16 apunta al extremo puro; el Predator 24 sigue siendo el botín del mediocampista.,AR
12,Infobae Deportes,https://infobae.com/deportes/botines-velocidad-2026/,Los botines de velocidad más buscados de la temporada,2026-06-14,alternative,11,40,football-boots-2026,El Future 8 de Puma se ofrece como alternativa más adaptable al calce angosto del Mercurial.,AR
13,Infobae Deportes,https://infobae.com/deportes/phantom-gx-2-vs-predator-24/,Phantom GX 2 vs Predator 24: cuál controla mejor la pelota,2026-03-27,versus,12,29,football-boots-2026,El Gripknit del Phantom GX 2 genera más fricción en seco; el Predator 24 rinde mejor con la cancha mojada.,AR
14,Road Trail Run,https://roadtrailrun.com/zoom-fly-6-vs-adios-pro-3/,Zoom Fly 6 vs Adizero Adios Pro 3: entrenar rápido o competir,2026-02-28,versus,5,25,race-day-2026,La Zoom Fly 6 es el entrenador de placa más durable del mercado; la Adios Pro 3 es directamente una zapatilla de maratón.,US
15,Road Trail Run,https://roadtrailrun.com/pegasus-trail-5-vs-gel-trabuco-12/,Pegasus Trail 5 vs Gel-Trabuco 12 en senderos mixtos,2026-04-16,versus,6,20,trail-2026,La Trabuco 12 gana en agarre técnico; la Pegasus Trail 5 es más cómoda en el tramo de asfalto.,US
16,Runner's World,https://runnersworld.com/metcon-9-vs-project-rock-bsr-4/,Metcon 9 vs Project Rock BSR 4: la zapatilla del gimnasio,2026-01-30,versus,13,45,training-2026,La Metcon 9 es más estable bajo carga; la BSR 4 es más cómoda para bloques de cardio.,US
17,Sneaker News,https://sneakernews.com/air-max-270-vs-nb-9060/,Air Max 270 o New Balance 9060: dos formas del chunky,2026-05-22,alternative,8,34,lifestyle-icons-2026,El 9060 se impuso como el chunky del momento frente a un Air Max 270 que ya lleva varios años.,US
18,Doble Ritmo,https://dobleritmo.com/velocity-nitro-3-alternativa-pegasus/,Velocity Nitro 3: la alternativa económica a la Pegasus 41,2026-06-25,alternative,1,37,daily-trainer-showdown-2026,"Con NITROFOAM y PUMAGRIP, la Velocity Nitro 3 entrega el 90% de la Pegasus por bastante menos plata.",AR
19,Doble Ritmo,https://dobleritmo.com/gel-cumulus-26-vs-pegasus-41/,Gel-Cumulus 26 vs Pegasus 41: el duelo de los entrenadores accesibles,2026-07-10,alternative,1,19,daily-trainer-showdown-2026,La Cumulus 26 aparece consistentemente más barata en el retail argentino.,AR
20,Believe in the Run,https://believeintherun.com/hovr-machina-3-vs-vomero-18/,HOVR Machina 3 vs Vomero 18: amortiguación conectada,2026-03-05,alternative,2,42,max-cushion-2026,"La Machina 3 suma sensor y cuesta menos, pero la Vomero 18 es claramente más cómoda.",US
21,Runner's World,https://runnersworld.com/best-daily-trainers-2026/,Las mejores zapatillas de entrenamiento diario de 2026,2026-06-01,same_list,1,16,best-daily-trainers-2026,La Pegasus 41 y la Novablast 5 encabezan la categoría de entrenamiento diario.,US
22,Runner's World,https://runnersworld.com/best-daily-trainers-2026/,Las mejores zapatillas de entrenamiento diario de 2026,2026-06-01,same_list,1,30,best-daily-trainers-2026,El 880v14 entra a la lista por su versatilidad y sus anchos.,US
23,Runner's World,https://runnersworld.com/best-daily-trainers-2026/,Las mejores zapatillas de entrenamiento diario de 2026,2026-06-01,same_list,1,22,best-daily-trainers-2026,La Supernova Rise 2 es la mejor opción por debajo de los 140 dólares.,US
24,Runner's World,https://runnersworld.com/best-daily-trainers-2026/,Las mejores zapatillas de entrenamiento diario de 2026,2026-06-01,same_list,16,37,best-daily-trainers-2026,Novablast 5 y Velocity Nitro 3 comparten el podio de las más divertidas de correr.,US
25,Doble Ritmo,https://dobleritmo.com/mejores-zapatillas-running-argentina-2026/,Las mejores zapatillas de running para comprar en Argentina en 2026,2026-07-20,same_list,1,17,mejores-running-ar-2026,Pegasus 41 y Gel-Nimbus 26 son las dos más recomendadas por los entrenadores consultados.,AR
26,Doble Ritmo,https://dobleritmo.com/mejores-zapatillas-running-argentina-2026/,Las mejores zapatillas de running para comprar en Argentina en 2026,2026-07-20,same_list,2,31,mejores-running-ar-2026,En máxima amortiguación la pelea es entre Vomero 18 y 1080v13.,AR
27,Doble Ritmo,https://dobleritmo.com/mejores-zapatillas-running-argentina-2026/,Las mejores zapatillas de running para comprar en Argentina en 2026,2026-07-20,same_list,3,18,mejores-running-ar-2026,"Para pronadores, Structure 25 y Gel-Kayano 31 son las opciones disponibles en el mercado local.",AR
28,Believe in the Run,https://believeintherun.com/best-max-cushion-2026/,Ranking: las zapatillas de máxima amortiguación de 2026,2026-05-08,ranking,17,,max-cushion-2026,La Gel-Nimbus 26 queda primera del ranking de máxima amortiguación.,US
29,Believe in the Run,https://believeintherun.com/best-max-cushion-2026/,Ranking: las zapatillas de máxima amortiguación de 2026,2026-05-08,ranking,2,,max-cushion-2026,La Vomero 18 sube al segundo puesto tras el rediseño de entresuela.,US
30,Road Trail Run,https://roadtrailrun.com/best-super-trainers-2026/,Ranking de super trainers 2026,2026-04-30,ranking,36,,super-trainers-2026,La Deviate Nitro 3 encabeza el ranking de super trainers por relación precio rendimiento.,US
31,Road Trail Run,https://roadtrailrun.com/best-super-trainers-2026/,Ranking de super trainers 2026,2026-04-30,ranking,5,,super-trainers-2026,"La Zoom Fly 6 queda segunda, penalizada por su peso.",US
32,Runner's World,https://runnersworld.com/nike-pegasus-41-review/,Review: Nike Pegasus 41,2026-01-18,review,1,,,Sigue siendo la zapatilla más segura del mercado para el corredor promedio.,US
33,Believe in the Run,https://believeintherun.com/asics-novablast-5-review/,Review: ASICS Novablast 5,2026-05-02,review,16,,,"Es la zapatilla más divertida de correr del año, con una estabilidad muy mejorada.",US
34,Infobae Deportes,https://infobae.com/deportes/samba-og-argentina-precio/,Por qué la Samba OG se volvió la zapatilla de moda en Argentina,2026-06-19,review,26,,,El fenómeno Samba llegó al mercado local con faltantes de talle y precios en alza.,AR
35,Doble Ritmo,https://dobleritmo.com/palermo-puma-tendencia/,La Puma Palermo es la sorpresa del año en zapatillas retro,2026-07-28,review,38,,,"Con un precio bastante menor al de Samba y Gazelle, la Palermo se comió el segmento retro.",AR
