id,period_start,period_end,country_code,brand_id,product_id,co_product_id,source_type,mention_count,comention_count,sentiment_score,intent,topic,sample_evidence
1,2026-06-16,2026-07-15,AR,1,,,forum,480,0,0.62,considering,performance,"[""Las Pegasus me bancan 60 km semanales sin ningún problema"", ""Para entrenar fondo Nike sigue siendo lo más confiable que probé""]"
2,2026-07-16,2026-08-15,AR,1,,,forum,505,0,0.6,considering,performance,"[""Las Pegasus me bancan 60 km semanales sin ningún problema"", ""Para entrenar fondo Nike sigue siendo lo más confiable que probé""]"
3,2026-06-16,2026-07-15,AR,1,,,community,390,0,0.55,recommendation,running,"[""En el grupo de running la mitad corre con Nike"", ""Arranqué a correr con unas Nike y no las cambio""]"
4,2026-07-16,2026-08-15,AR,1,,,community,402,0,0.56,recommendation,running,"[""En el grupo de running la mitad corre con Nike"", ""Arranqué a correr con unas Nike y no las cambio""]"
5,2026-06-16,2026-07-15,AR,1,,,social,350,0,0.48,recommendation,comfort,"[""Comodísimas para el día a día, las uso hasta para laburar"", ""El calce de Nike me queda perfecto, nunca me hicieron ampollas""]"
6,2026-07-16,2026-08-15,AR,1,,,social,358,0,0.47,recommendation,comfort,"[""Comodísimas para el día a día, las uso hasta para laburar"", ""El calce de Nike me queda perfecto, nunca me hicieron ampollas""]"
7,2026-06-16,2026-07-15,AR,1,,,forum,610,0,-0.52,comparing,expensive,"[""Nike en Argentina está impagable, 300 lucas por unas Pegasus"", ""Me encantan pero a estos precios me paso a otra marca"", ""Afuera salen la mitad, acá te cobran cualquier cosa""]"
8,2026-07-16,2026-08-15,AR,1,,,forum,720,0,-0.58,comparing,expensive,"[""Nike en Argentina está impagable, 300 lucas por unas Pegasus"", ""Me encantan pero a estos precios me paso a otra marca"", ""Afuera salen la mitad, acá te cobran cualquier cosa""]"
9,2026-06-16,2026-07-15,AR,1,,,social,240,0,-0.61,switch_brand,overpriced,"[""Cambié Nike por ASICS por precio, misma calidad y 80 lucas menos"", ""Ya no justifico pagar el sobreprecio de Nike""]"
10,2026-07-16,2026-08-15,AR,1,,,social,305,0,-0.64,switch_brand,overpriced,"[""Cambié Nike por ASICS por precio, misma calidad y 80 lucas menos"", ""Ya no justifico pagar el sobreprecio de Nike""]"
11,2026-06-16,2026-07-15,AR,1,,,social,300,0,0.3,considering,fashionable,"[""Las Dunk ya no pegan como antes, todo el mundo anda con Samba"", ""Nike sigue firme en performance pero en moda perdió la calle""]"
12,2026-07-16,2026-08-15,AR,1,,,social,288,0,0.26,considering,fashionable,"[""Las Dunk ya no pegan como antes, todo el mundo anda con Samba"", ""Nike sigue firme en performance pero en moda perdió la calle""]"
13,2026-06-16,2026-07-15,AR,1,,,social,420,0,0.58,want_to_buy,football,"[""Me quiero comprar los Mercurial nuevos para el torneo"", ""Los Vapor 16 son un misil, se sienten livianísimos""]"
