id,brand_id,country_code,product_name,normalized_product_name,franchise,model,version,sku,style_code,launch_date,lifecycle_stage,category,subcategory,sport,activity,use_case,gender,age_segment,performance_vs_lifestyle,consumer_segment,msrp,price_band,url,image_url,description,enrichment_version
1,1,AR,Nike Pegasus 41,nike pegasus 41,Pegasus,Pegasus,41,PEGASUS-001,220Z6254-773,2025-05-15,,footwear,neutral cushioning,running,road running,daily running,men,adult,performance,recreational runner,285000.0,,https://www.nike.com.ar/p/nike-pegasus-41,https://cdn.demo-intel.local/img/nike-pegasus-41.jpg,Zapatilla de entrenamiento diario con espuma ReactX y doble unidad Zoom Air en antepié y talón para un retorno de energía consistente. El upper de malla ingenierizada mejora la ventilación sin perder sujeción en el mediopié. Pensada para rodajes de 8 a 20 km sobre asfalto.,
2,1,AR,Nike Vomero 18,nike vomero 18,Vomero,Vomero,18,VOMERO-002,672S1416-174,2026-06-05,,footwear,high cushioning,running,road running,daily running,unisex,adult,performance,recreational runner,330000.0,,https://www.nike.com.ar/p/nike-vomero-18,https://cdn.demo-intel.local/img/nike-vomero-18.jpg,Máxima amortiguación diaria: combina una capa superior de ZoomX con una base de ReactX para absorber impacto sin sentirse inestable. La entresuela de perfil alto y el talón acolchado la vuelven ideal para rodajes largos y regenerativos. Es la opción de kilometraje cómodo del line-up de running Nike.,
3,1,AR,Nike Structure 25,nike structure 25,Structure,Structure,25,STRUCTURE-003,774D9185-190,2025-08-01,,footwear,stability,running,road running,daily running,men,adult,performance,recreational runner,290000.0,,https://www.nike.com.ar/p/nike-structure-25,https://cdn.demo-intel.local/img/nike-structure-25.jpg,Entrenador diario con soporte: paredes de espuma más firmes en el arco y una base ancha que controla la pronación sin usar barra de estabilidad rígida. Suma unidad Zoom Air en el antepié para transiciones más ágiles. Recomendada para corredores que buscan guía y durabilidad en rodajes de volumen.,
4,1,AR,Nike Invincible 3,nike invincible 3,Invincible,Invincible,3,INVINCIBLE-004,253W2854-342,2024-11-20,,footwear,high cushioning,running,road running,daily running,unisex,adult,performance,recreational runner,360000.0,,https://www.nike.com.ar/p/nike-invincible-3,https://cdn.demo-intel.local/img/nike-invincible-3.jpg,"Entresuela íntegra de espuma ZoomX con stack alto, orientada a rodajes de recuperación y días de mucha carga. El clip de talón y la base ensanchada compensan la blandura extrema del compuesto. Suela de goma amplia para durabilidad en asfalto.",
5,1,AR,Nike Zoom Fly 6,nike zoom fly 6,Zoom Fly,Zoom Fly,6,ZOOM-FLY-005,517S5514-631,2025-09-05,,footwear,tempo/race,running,road running,race day,unisex,adult,performance,performance runner,420000.0,,https://www.nike.com.ar/p/nike-zoom-fly-6,https://cdn.demo-intel.local/img/nike-zoom-fly-6.jpg,"Zapatilla de ritmo con placa de fibra de carbono completa y entresuela de ZoomX sobre SR-02 para sostener series y medias maratones. Más pesada y durable que una zapatilla de competencia pura, sirve como entrenador rápido. Upper de malla Flyknit ligera y ajustada.",
6,1,AR,Nike Pegasus Trail 5,nike pegasus trail 5,Pegasus,Pegasus Trail,5,PEGASUS-006,465A7417-106,2025-03-12,,footwear,trail,running,trail running,trail running,unisex,adult,performance,recreational runner,320000.0,,https://www.nike.com.ar/p/nike-pegasus-trail-5,https://cdn.demo-intel.local/img/nike-pegasus-trail-5.jpg,"Versión off-road del Pegasus: espuma ReactX, taco de goma con tacos multidireccionales de 3,5 mm y refuerzos en punta para senderos mixtos. El cuello acolchado y la lengüeta con gusset frenan el ingreso de piedritas. Funciona bien en la transición asfalto-tierra.",
7,1,AR,Nike Air Force 1 '07,nike air force 1 07,Air Force 1,Air Force 1,'07,AIR-FORCE-1-007,721T7075-370,2024-11-01,,footwear,court lifestyle,lifestyle,street style,lifestyle,unisex,adult,lifestyle,sneaker enthusiast,210000.0,,https://www.nike.com.ar/p/nike-air-force-1-07,https://cdn.demo-intel.local/img/nike-air-force-1-07.jpg,Silueta de básquet de los 80 reconvertida en ícono urbano: cuero premium perforado en el antepié y unidad Air encapsulada en el talón. La suela de goma con pivot circular aporta agarre y ese perfil chunky característico. Es el caballito de batalla del lifestyle blanco sobre blanco.,
8,1,AR,Nike Air Max 270,nike air max 270,Air Max,Air Max,270,AIR-MAX-008,873J5776-998,2024-03-01,,footwear,sportswear cushioning,lifestyle,street style,lifestyle,unisex,adult,lifestyle,sneaker enthusiast,290000.0,,https://www.nike.com.ar/p/nike-air-max-270,https://cdn.demo-intel.local/img/nike-air-max-270.jpg,"Primer Air Max diseñado desde cero para uso lifestyle, con la unidad Air visible más alta de su momento en el talón. Upper de malla elástica sin costuras que calza como una media. Amortiguación pensada para caminar todo el día más que para correr.",
9,1,AR,Nike Dunk Low,nike dunk low,Dunk,Dunk,Low,DUNK-009,422P7418-886,2025-10-10,,footwear,court lifestyle,lifestyle,street style,lifestyle,unisex,adult,lifestyle,sneaker enthusiast,240000.0,,https://www.nike.com.ar/p/nike-dunk-low,https://cdn.demo-intel.local/img/nike-dunk-low.jpg,"Clásico de cancha universitaria devuelto a la calle con paneles de cuero en bloques de color y perfil bajo. Entresuela de espuma con suela de goma espigada, sin tecnología de amortiguación moderna. Su valor está en el juego de colorways y la cultura sneaker que arrastra.",
10,1,AR,Nike Jordan 1 Low,nike jordan 1 low,Jordan,Air Jordan 1,Low,JORDAN-010,922D6332-549,2025-06-20,,footwear,court lifestyle,lifestyle,street style,lifestyle,unisex,adult,lifestyle,sneaker enthusiast,260000.0,,https://www.nike.com.ar/p/nike-jordan-1-low,https://cdn.demo-intel.local/img/nike-jordan-1-low.jpg,"Corte bajo del modelo que fundó la línea Jordan, con cuero de grano trabajado y el Swoosh contrastante en el lateral. Entresuela con Air encapsulada y suela de goma con espiga clásica. Es la puerta de entrada más accesible al universo Jordan.",
